web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-176","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Central Bank","Mount Clemens","MI","34234","Talmer Bank & Trust","April 29, 2011","10359"
"1655991395-528","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Columbian Bank & Trust","Topeka","KS","22728","Citizens Bank & Trust","August 22, 2008","10011"
"1655991395-191","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Davis","Davis","OK","4077","The Pauls Valley National Bank","March 11, 2011","10349"
"1655991395-516","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Downey Savings & Loan","Newport Beach","CA","30968","U.S. Bank, N.A.","November 21, 2008","10023"
"1655991395-291","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","TierOne Bank","Lincoln","NE","29341","Great Western Bank","June 4, 2010","10248"
"1655991395-107","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Fidelity Bank","Dearborn","MI","33883","The Huntington National Bank","March 30, 2012","10432"
"1655991395-539","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Metropolitan Savings Bank","Pittsburgh","PA","35353","Allegheny Valley Bank of Pittsburgh","February 2, 2007","10000"
"1655991395-493","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Colorado National Bank","Colorado Springs","CO","18896","Herring Bank","March 20, 2009","10045"
"1655991395-22","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Hometown National Bank","Longview","WA","35156","Twin City Bank","October 2, 2015","10517"
"1655991395-510","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Clark County","Vancouver","WA","34959","Umpqua Bank","January 16, 2009","10029"
"1655991395-46","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Union","El Reno","OK","17967","BancFirst","January 24, 2014","10493"
"1655991395-436","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Bank of Arizona","Phoenix","AZ","57645","MidFirst Bank","August 14, 2009","10101"
"1655991395-555","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Oakwood Deposit Bank Co.","Oakwood","OH","8966","The State Bank & Trust Company","February 1, 2002","4652"
"1655991395-125","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Central Progressive Bank","Lacombe","LA","19657","First NBC Bank","November 18, 2011","10413"
"1655991395-353","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","George Washington Savings Bank","Orland Park","IL","29952","FirstMerit Bank, N.A.","February 19, 2010","10184"
"1655991395-111","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Global Commerce Bank","Doraville","GA","34046","Metro City Bank","March 2, 2012","10428"
"1655991395-105","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of the Eastern Shore","Cambridge","MD","26759","No Acquirer","April 27, 2012","10434"
"1655991395-465","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First State Bank of Winchester","Winchester","IL","11710","The First National Bank of Beardstown","July 2, 2009","10077"
"1655991395-513","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Haven Trust Bank","Duluth","GA","35379","Branch Banking & Trust Company, (BB&T)","December 12, 2008","10027"
"1655991395-114","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","SCB Bank","Shelbyville","IN","29761","First Merchants Bank, National Association","February 10, 2012","10425"
"1655991395-178","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Choice Community Bank","Dallas","GA","58539","Bank of the Ozarks","April 29, 2011","10361"
"1655991395-368","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Barnes Banking Company","Kaysville","UT","1252","No Acquirer","January 15, 2010","10171"
"1655991395-533","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Integrity Bank, NA","Staples","MN","12736","First International Bank and Trust","May 30, 2008","10006"
"1655991395-154","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Integra Bank National Association","Evansville","IN","4392","Old National Bank","July 29, 2011","10384"
"1655991395-246","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Haven Trust Bank Florida","Ponte Vedra Beach","FL","58308","First Southern Bank","September 24, 2010","10293"
"1655991395-557","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Hamilton Bank, NA
            

            En Español","Miami","FL","24382","Israel Discount Bank of New York","January 11, 2002","4650"
"1655991395-121","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The First State Bank","Stockbridge","GA","19252","Hamilton State Bank","January 20, 2012","10419"
"1655991395-82","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Commercial Bank","Bloomington","MN","35246","Republic Bank & Trust Company","September 7, 2012","10457"
"1655991395-118","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Tennessee Commerce Bank","Franklin","TN","35296","Republic Bank & Trust Company","January 27, 2012","10423"
"1655991395-271","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Security Bank","New Prague","MN","34486","Roundbank","July 23, 2010","10264"
"1655991395-563","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Honolulu","Honolulu","HI","21029","Bank of the Orient","October 13, 2000","4645"
"1655991395-561","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Alliance Bank & Trust Co.","Manchester","NH","34264","Southern New Hampshire Bank & Trust","February 2, 2001","4647"
"1655991395-40","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Columbia Savings Bank","Cincinnati","OH","32284","United Fidelity Bank, fsb","May 23, 2014","10499"
"1655991395-279","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Metro Bank of Dade County","Miami","FL","25172","NAFH National Bank","July 16, 2010","10259"
"1655991395-99","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Alabama Trust Bank, National Association","Sylacauga","AL","35224","Southern States Bank","May 18, 2012","10440"
"1655991395-53","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community South Bank","Parsons","TN","19849","CB&S Bank, Inc.","August 23, 2013","10486"
"1655991395-76","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","NOVA Bank","Berwyn","PA","27148","No Acquirer","October 26, 2012","10463"
"1655991395-175","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Coastal Bank","Cocoa Beach","FL","34898","Florida Community Bank, a division of Premier American Bank, N.A.","May 6, 2011","10364"
"1655991395-143","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of the Commonwealth","Norfolk","VA","20408","Southern Bank and Trust Company","September 23, 2011","10396"
"1655991395-544","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pulaski Savings Bank","Philadelphia","PA","27203","Earthstar Bank","November 14, 2003","4662"
"1655991395-187","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Nevada Commerce Bank","Las Vegas","NV","35418","City National Bank","April 8, 2011","10351"
"1655991395-155","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","BankMeridian, N.A.","Columbia","SC","58222","SCBT National Association","July 29, 2011","10383"
"1655991395-24","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Premier Bank","Denver","CO","34112","United Fidelity Bank, fsb","July 10, 2015","10515"
"1655991395-177","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Park Avenue Bank","Valdosta","GA","19797","Bank of the Ozarks","April 29, 2011","10363"
"1655991395-248","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bramble Savings Bank","Milford","OH","27808","Foundation Bank","September 17, 2010","10288"
"1655991395-3","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The First State Bank","Barboursville","WV","14361","MVB Bank, Inc.","April 3, 2020","10536"
"1655991395-506","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Ocala National Bank","Ocala","FL","26538","CenterState Bank of Florida, N.A.","January 30, 2009","10032"
"1655991395-199","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Peoples State Bank","Hamtramck","MI","14939","First Michigan Bank","February 11, 2011","10341"
"1655991395-71","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Westside Community Bank","University Place","WA","33997","Sunwest Bank","January 11, 2013","10468"
"1655991395-518","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Pacific Bank","Los Angeles","CA","23595","Pacific Western Bank","November 7, 2008","10020"
"1655991395-268","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Northwest Bank & Trust","Acworth","GA","57658","State Bank and Trust Company","July 30, 2010","10274"
"1655991395-320","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Broadway Bank","Chicago","IL","22853","MB Financial Bank, N.A.","April 23, 2010","10219"
"1655991395-116","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","BankEast","Knoxville","TN","19869","U.S. Bank, N.A.","January 27, 2012","10420"
"1655991395-404","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Bank of Lemont","Lemont","IL","35291","U.S. Bank N.A.","October 30, 2009","10137"
"1655991395-551","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Connecticut Bank of Commerce","Stamford","CT","19183","Hudson United Bank","June 26, 2002","4656"
"1655991395-223","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Banking Center","Burlington","WI","5287","First Michigan Bank","November 19, 2010","10315"
"1655991395-292","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Arcola Homestead Savings Bank","Arcola","IL","31813","No Acquirer","June 4, 2010","10246"
"1655991395-216","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Southern Bank","Batesville","AR","58052","Southern Bank","December 17, 2010","10322"
"1655991395-204","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Community Bank","Taos","NM","12261","U.S. Bank, N.A.","January 28, 2011","10333"
"1655991395-473","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Cooperative Bank","Wilmington","NC","27837","First Bank","June 19, 2009","10065"
"1655991395-217","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","United Americas Bank, N.A.","Atlanta","GA","35065","State Bank and Trust Company","December 17, 2010","10323"
"1655991395-352","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","La Jolla Bank, FSB","La Jolla","CA","32423","OneWest Bank, FSB","February 19, 2010","10185"
"1655991395-330","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Beach First National Bank","Myrtle Beach","SC","34242","Bank of North Carolina","April 9, 2010","10209"
"1655991395-315","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Wheatland Bank","Naperville","IL","58429","Wheaton Bank & Trust","April 23, 2010","10224"
