web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-169","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","McIntosh State Bank","Jackson","GA","19237","Hamilton State Bank","June 17, 2011","10371"
"1655991395-435","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Bank of Nevada","Las Vegas","NV","34043","No Acquirer","August 14, 2009","10100"
"1655991395-135","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Country Bank","Aledo","IL","35395","Blackhawk Bank & Trust","October 14, 2011","10402"
"1655991395-547","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Farmers Bank of Cheneyville","Cheneyville","LA","16445","Sabine State Bank & Trust","December 17, 2002","4659"
"1655991395-281","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Woodlands Bank","Bluffton","SC","32571","Bank of the Ozarks","July 16, 2010","10262"
"1655991395-333","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Key West Bank","Key West","FL","34684","Centennial Bank","March 26, 2010","10206"
"1655991395-546","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Southern Pacific Bank","Torrance","CA","27094","Beal Bank","February 7, 2003","4660"
"1655991395-399","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens National Bank","Teague","TX","25222","U.S. Bank N.A.","October 30, 2009","10141"
"1655991395-188","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Western Springs National Bank and Trust","Western Springs","IL","10086","Heartland Bank and Trust Company","April 8, 2011","10352"
"1655991395-186","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bartow County Bank","Cartersville","GA","21495","Hamilton State Bank","April 15, 2011","10353"
"1655991395-112","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Home Savings of America","Little Falls","MN","29178","No Acquirer","February 24, 2012","10427"
"1655991395-51","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Community's Bank","Bridgeport","CT","57041","No Acquirer","September 13, 2013","10489"
"1655991395-265","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Cowlitz Bank","Longview","WA","22643","Heritage Bank","July 30, 2010","10275"
"1655991395-49","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Jackson County","Graceville","FL","14794","First Federal Bank of Florida","October 30, 2013","10490"
"1655991395-35","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Eastside Commercial Bank","Conyers","GA","58125","Community & Southern Bank","July 18, 2014","10504"
"1655991395-559","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Superior Bank, FSB","Hinsdale","IL","32646","Superior Federal, FSB","July 27, 2001","6004"
"1655991395-417","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Georgian Bank","Atlanta","GA","57151","First Citizens Bank and Trust Company, Inc.","September 25, 2009","10122"
"1655991395-60","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sunrise Bank","Valdosta","GA","58185","Synovus Bank","May 10, 2013","10481"
"1655991395-356","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","1st American State Bank of Minnesota","Hancock","MN","15448","Community Development Bank, FSB","February 5, 2010","10183"
"1655991395-226","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Copper Star Bank","Scottsdale","AZ","35463","Stearns Bank, N.A.","November 12, 2010","10311"
"1655991395-403","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","San Diego National Bank","San Diego","CA","23594","U.S. Bank N.A.","October 30, 2009","10135"
"1655991395-62","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Douglas County Bank","Douglasville","GA","21649","Hamilton State Bank","April 26, 2013","10476"
"1655991395-150","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Public Savings Bank","Huntingdon Valley","PA","34130","Capital Bank, N.A.","August 18, 2011","10389"
"1655991395-463","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Elizabeth State Bank","Elizabeth","IL","9262","Galena State Bank and Trust Company","July 2, 2009","10073"
"1655991395-260","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Independent National Bank","Ocala","FL","27344","CenterState Bank of Florida, N.A.","August 20, 2010","10281"
"1655991395-147","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Choice Bank","Geneva","IL","57212","Inland Bank & Trust","August 19, 2011","10390"
"1655991395-263","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Ravenswood Bank","Chicago","IL","34231","Northbrook Bank & Trust Company","August 6, 2010","10276"
"1655991395-503","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","County Bank","Merced","CA","22574","Westamerica Bank","February 6, 2009","10034"
"1655991395-512","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sanderson State Bank
            

            En Español","Sanderson","TX","11568","The Pecos County State Bank","December 12, 2008","10026"
"1655991395-261","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community National Bank at Bartow","Bartow","FL","25266","CenterState Bank of Florida, N.A.","August 20, 2010","10279"
"1655991395-146","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Patriot Bank of Georgia","Cumming","GA","58273","Georgia Commerce Bank","September 2, 2011","10394"
"1655991395-237","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Gordon Bank","Gordon","GA","33904","Morris Bank","October 22, 2010","10305"
"1655991395-437","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Union Bank, National Association","Gilbert","AZ","34485","MidFirst Bank","August 14, 2009","10102"
"1655991395-200","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sunshine State Community Bank","Port Orange","FL","35478","Premier American Bank, N.A.","February 11, 2011","10342"
"1655991395-89","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Royal Palm Bank of Florida","Naples","FL","57096","First National Bank of the Gulf Coast","July 20, 2012","10454"
"1655991395-153","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Shorewood","Shorewood","IL","22637","Heartland Bank and Trust Company","August 5, 2011","10386"
"1655991395-425","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Vantus Bank","Sioux City","IA","27732","Great Southern Bank","September 4, 2009","10116"
"1655991395-474","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Southern Community Bank","Fayetteville","GA","35251","United Community Bank","June 19, 2009","10067"
"1655991395-163","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","One Georgia Bank","Atlanta","GA","58238","Ameris Bank","July 15, 2011","10378"
"1655991395-94","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Putnam State Bank","Palatka","FL","27405","Harbor Community Bank","June 15, 2012","10445"
"1655991395-45","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Syringa Bank","Boise","ID","34296","Sunwest Bank","January 31, 2014","10494"
"1655991395-56","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Mountain National Bank","Sevierville","TN","34789","First Tennessee Bank, National Association","June 7, 2013","10483"
"1655991395-501","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Riverside Bank of the Gulf Coast","Cape Coral","FL","34563","TIB Bank","February 13, 2009","10038"
"1655991395-407","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Riverview Community Bank","Otsego","MN","57525","Central Bank","October 23, 2009","10133"
"1655991395-63","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Parkway Bank","Lenoir","NC","57158","CertusBank, National Association","April 26, 2013","10477"
"1655991395-136","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First State Bank","Cranford","NJ","58046","Northfield Bank","October 14, 2011","10403"
"1655991395-225","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Gulf State Community Bank","Carrabelle","FL","20340","Centennial Bank","November 19, 2010","10316"
"1655991395-193","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","San Luis Trust Bank, FSB","San Luis Obispo","CA","34783","First California Bank","February 18, 2011","10346"
"1655991395-253","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Horizon Bank","Bradenton","FL","35061","Bank of the Ozarks","September 10, 2010","10286"
"1655991395-57","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","1st Commerce Bank","North Las Vegas","NV","58358","Plaza Bank","June 6, 2013","10482"
"1655991395-66","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Federal Bank","Lexington","KY","29594","Your Community Bank","April 19, 2013","10474"
"1655991395-119","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Guaranty Bank and Trust Company of Jacksonville","Jacksonville","FL","16579","CenterState Bank of Florida, N.A.","January 27, 2012","10421"
"1655991395-344","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Park Avenue Bank","New York","NY","27096","Valley National Bank","March 12, 2010","10195"
"1655991395-117","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Patriot Bank Minnesota","Forest Lake","MN","34823","First Resource Bank","January 27, 2012","10422"
"1655991395-534","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","ANB Financial, NA","Bentonville","AR","33901","Pulaski Bank and Trust Company","May 9, 2008","10005"
"1655991395-340","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Century Security Bank","Duluth","GA","58104","Bank of Upson","March 19, 2010","10198"
"1655991395-319","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens Bank and Trust Company of Chicago","Chicago","IL","34658","Republic Bank of Chicago","April 23, 2010","10220"
