web-scraper-order,web-scraper-start-url,pagi,position,salary,loc,company,detail,info,comp_tag,experience
"1672259519-7596","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据工程师（2023校招）","10-11K","上海·浦东新区·康桥","吉祥航空","KafkaJavaFlink大数据开发经验ETL开发经验计算机相关专业Hadoop","免费班车，定期体检，员工旅游，生日福利，节日福利，带薪年假，五险一金，年终奖，绩效奖金","其他行业","在校/应届"
"1672259519-7597","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据工程师（2023校招）","10-11K","上海·浦东新区·康桥","吉祥航空","KafkaJavaFlink大数据开发经验ETL开发经验计算机相关专业Hadoop","免费班车，定期体检，员工旅游，生日福利，节日福利，带薪年假，五险一金，年终奖，绩效奖金","已上市","在校/应届"
"1672259519-7598","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据工程师（2023校招）","10-11K","上海·浦东新区·康桥","吉祥航空","KafkaJavaFlink大数据开发经验ETL开发经验计算机相关专业Hadoop","免费班车，定期体检，员工旅游，生日福利，节日福利，带薪年假，五险一金，年终奖，绩效奖金","1000-9999人","在校/应届"
"1672259519-7599","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据统计员","7-12K","上海·闵行区·莘庄","上海弘羿智能科技","统计员","","计算机软件","经验不限"
"1672259519-7600","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据统计员","7-12K","上海·闵行区·莘庄","上海弘羿智能科技","统计员","","100-499人","经验不限"
"1672259519-7601","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据库程序员【2023校招】","8-13K·14薪","上海·浦东新区·陆家嘴","熙华检测","JavaSQL","","检测/认证","经验不限"
"1672259519-7602","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据库程序员【2023校招】","8-13K·14薪","上海·浦东新区·陆家嘴","熙华检测","JavaSQL","","500-999人","经验不限"
"1672259519-7603","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","需求分析师","8-12K","上海·徐汇区·漕河泾","携宁科技","Axure计算机/软件工程相关专业财务/金融相关专业","交通补助，通讯补贴，补充医疗保险，节日福利，员工旅游，五险一金，零食下午茶，年终奖，带薪年假，定期体检，餐补，全勤奖","计算机软件","经验不限"
"1672259519-7604","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","需求分析师","8-12K","上海·徐汇区·漕河泾","携宁科技","Axure计算机/软件工程相关专业财务/金融相关专业","交通补助，通讯补贴，补充医疗保险，节日福利，员工旅游，五险一金，零食下午茶，年终奖，带薪年假，定期体检，餐补，全勤奖","未融资","经验不限"
"1672259519-7605","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","需求分析师","8-12K","上海·徐汇区·漕河泾","携宁科技","Axure计算机/软件工程相关专业财务/金融相关专业","交通补助，通讯补贴，补充医疗保险，节日福利，员工旅游，五险一金，零食下午茶，年终奖，带薪年假，定期体检，餐补，全勤奖","500-999人","经验不限"
"1672259519-7606","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析顾问","8-13K","上海·闵行区·虹桥","领诺顾问公司","数据分析商业分析数据仓库数据挖掘数据采集BIDBAETL","五险一金，年终奖，行业知识培训，商业知识培训，数据技术培训","咨询","经验不限"
"1672259519-7607","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析顾问","8-13K","上海·闵行区·虹桥","领诺顾问公司","数据分析商业分析数据仓库数据挖掘数据采集BIDBAETL","五险一金，年终奖，行业知识培训，商业知识培训，数据技术培训","不需要融资","经验不限"
"1672259519-7608","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析顾问","8-13K","上海·闵行区·虹桥","领诺顾问公司","数据分析商业分析数据仓库数据挖掘数据采集BIDBAETL","五险一金，年终奖，行业知识培训，商业知识培训，数据技术培训","100-499人","经验不限"
"1672259519-7609","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","华为云GaussDB数据库-开发(java/python)","16-25K","上海·浦东新区·金桥","华为","PythonPostgreSQLOracleMySQL","员工旅游，年终奖，股票期权，定期体检，零食下午茶，五险一金，餐补，节日福利，加班补助，补充医疗保险","计算机软件","经验不限"
"1672259519-7610","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","华为云GaussDB数据库-开发(java/python)","16-25K","上海·浦东新区·金桥","华为","PythonPostgreSQLOracleMySQL","员工旅游，年终奖，股票期权，定期体检，零食下午茶，五险一金，餐补，节日福利，加班补助，补充医疗保险","不需要融资","经验不限"
"1672259519-7611","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","华为云GaussDB数据库-开发(java/python)","16-25K","上海·浦东新区·金桥","华为","PythonPostgreSQLOracleMySQL","员工旅游，年终奖，股票期权，定期体检，零食下午茶，五险一金，餐补，节日福利，加班补助，补充医疗保险","10000人以上","经验不限"
"1672259519-7612","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","IT助理分析师 (属中国远洋海运集团企业)","12-18K·13薪","上海","佛罗伦资产管理有...","PythonJava大数据","","物流/仓储","经验不限"
"1672259519-7613","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","IT助理分析师 (属中国远洋海运集团企业)","12-18K·13薪","上海","佛罗伦资产管理有...","PythonJava大数据","","100-499人","经验不限"
"1672259519-7614","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","QC分析员","6-11K·15薪","上海·徐汇区·漕河泾","复宏汉霖","微生物生物工程无菌操作微生物检测GMP","交通补助，补充医疗保险，带薪年假，节日福利，五险一金，年终奖，加班补助，通讯补贴，带薪休假，零食下午茶，餐补，定期体检，员工旅游","制药","经验不限"
"1672259519-7615","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","QC分析员","6-11K·15薪","上海·徐汇区·漕河泾","复宏汉霖","微生物生物工程无菌操作微生物检测GMP","交通补助，补充医疗保险，带薪年假，节日福利，五险一金，年终奖，加班补助，通讯补贴，带薪休假，零食下午茶，餐补，定期体检，员工旅游","已上市","经验不限"
"1672259519-7616","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","QC分析员","6-11K·15薪","上海·徐汇区·漕河泾","复宏汉霖","微生物生物工程无菌操作微生物检测GMP","交通补助，补充医疗保险，带薪年假，节日福利，五险一金，年终奖，加班补助，通讯补贴，带薪休假，零食下午茶，餐补，定期体检，员工旅游","1000-9999人","经验不限"
